"tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht","Resistance","Behaviour"
1.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
2.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
3.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
4.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
5.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
6.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
7.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
8.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
9.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
10.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
11.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
12.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
13.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
14.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
15.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
16.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
17.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
18.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
19.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
20.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
21.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
22.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
23.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
24.0,0.0,3.807692307692308,0.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
25.0,1.0,3.807692307692308,1.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
26.0,1.0,3.807692307692308,1.0,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
27.0,1.9230769230769231,3.807692307692308,1.9230769230769231,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
28.0,1.9230769230769231,3.807692307692308,1.9230769230769231,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
29.0,2.8461538461538463,3.807692307692308,2.8461538461538463,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
30.0,2.8461538461538463,3.807692307692308,2.8461538461538463,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
31.0,3.807692307692308,3.807692307692308,3.807692307692308,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
32.0,3.807692307692308,3.807692307692308,3.807692307692308,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
33.0,3.807692307692308,3.807692307692308,3.807692307692308,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
34.0,3.807692307692308,3.807692307692308,3.807692307692308,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
35.0,3.807692307692308,3.807692307692308,3.807692307692308,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
36.0,3.807692307692308,8.269230769230768,3.807692307692308,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
37.0,3.807692307692308,12.0,3.807692307692308,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
38.0,3.807692307692308,12.0,3.807692307692308,76.23076923076924,76.23076923076924,76.23076923076924,1.0,0.0
